Id,Area,Bedrooms,Bathrooms,Floors,YearBuilt,Location,Condition,Garage,Price,HouseAge
457,3482,5,4,1,2011,Suburban,Poor,Yes,173554,15
458,3794,3,1,2,2017,Urban,Excellent,Yes,444655,9
459,1656,1,3,2,1914,Rural,Poor,Yes,962046,112
460,1232,5,3,3,1959,Suburban,Excellent,Yes,809277,67
461,4830,5,1,2,1994,Urban,Fair,Yes,528766,32
462,1453,4,3,1,1941,Suburban,Excellent,Yes,972879,85
463,3039,4,1,1,2004,Suburban,Good,Yes,663311,22
464,3824,4,2,2,1942,Downtown,Good,Yes,681469,84
465,3801,1,4,2,1979,Downtown,Excellent,No,272310,47
466,2042,1,1,2,1973,Suburban,Good,No,857032,53
467,1691,3,3,3,1948,Urban,Fair,No,838898,78
468,3493,4,1,1,1963,Urban,Good,Yes,830637,63
469,3181,5,3,3,1931,Urban,Excellent,Yes,549344,95
470,1717,2,2,3,1963,Rural,Fair,Yes,750457,63
471,2040,3,1,1,2014,Suburban,Good,No,946366,12
472,3736,1,2,1,1901,Suburban,Fair,Yes,627564,125
473,2886,3,4,2,1923,Rural,Excellent,Yes,493333,103
474,4219,3,3,2,1986,Suburban,Good,Yes,490187,40
475,1888,3,3,3,1965,Suburban,Fair,No,319072,61
476,2356,3,2,2,1937,Rural,Fair,No,891741,89
477,1865,2,4,2,1930,Downtown,Good,Yes,255719,96
478,999,4,1,1,2014,Suburban,Fair,No,746248,12
479,2180,5,1,1,2003,Rural,Fair,Yes,800385,23
480,1010,3,3,2,1925,Urban,Excellent,Yes,749192,101
481,4812,3,2,1,1928,Downtown,Excellent,No,166196,98
482,1824,3,2,2,1966,Urban,Excellent,No,59404,60
483,1655,4,1,1,2021,Suburban,Excellent,No,476855,5
484,2327,1,4,1,1977,Downtown,Excellent,No,783478,49
485,3641,1,4,1,1924,Rural,Excellent,Yes,503814,102
486,3986,2,1,1,1947,Suburban,Good,Yes,687475,79
487,2310,1,1,2,1964,Rural,Excellent,No,946881,62
488,3423,3,2,3,1952,Downtown,Fair,No,601972,74
489,2714,3,4,1,1966,Urban,Good,Yes,642879,60
490,4686,3,1,2,2017,Suburban,Fair,Yes,431965,9
491,1213,2,1,2,1989,Suburban,Excellent,Yes,783082,37
492,4102,3,3,1,1917,Rural,Excellent,Yes,314826,109
493,4634,1,1,3,1908,Downtown,Fair,No,161186,118
494,4022,4,1,1,1937,Rural,Fair,No,817469,89
495,4768,4,4,2,1986,Downtown,Fair,No,596120,40
496,1743,5,2,3,1920,Suburban,Poor,Yes,591285,106
497,4209,1,4,2,2020,Downtown,Poor,Yes,346784,6
498,1581,3,2,1,1964,Suburban,Poor,No,520098,62
499,955,4,3,3,1920,Downtown,Poor,No,90491,106
500,1394,1,1,2,1926,Urban,Good,No,113043,100
501,1884,4,3,2,2005,Downtown,Excellent,Yes,948607,21
502,2458,3,2,2,2022,Urban,Fair,No,178568,4
503,3572,4,4,1,1969,Downtown,Excellent,Yes,426394,57
504,2496,5,4,3,2018,Downtown,Fair,No,647013,8
505,4785,5,3,1,1943,Rural,Excellent,No,178131,83
506,1004,4,2,1,1999,Rural,Good,No,95520,27
507,1714,1,3,1,1927,Suburban,Poor,Yes,375063,99
508,2031,1,3,3,1944,Rural,Excellent,Yes,684157,82
509,3940,1,1,1,1916,Downtown,Fair,Yes,638730,110
510,1323,4,3,1,2022,Rural,Excellent,Yes,835313,4
511,1428,1,1,1,1939,Downtown,Good,Yes,202842,87
512,633,3,1,1,2021,Urban,Good,Yes,417390,5
513,2605,5,4,2,2015,Downtown,Excellent,No,752858,11
514,4127,3,1,1,1902,Suburban,Poor,Yes,421831,124
515,2352,1,1,2,1975,Urban,Fair,No,572485,51
516,4675,3,4,1,2002,Suburban,Good,Yes,697735,24
517,3433,1,3,3,1975,Suburban,Good,No,635765,51
518,3784,4,2,2,1965,Suburban,Excellent,No,574532,61
519,4798,3,2,2,2019,Rural,Good,Yes,915885,7
520,3311,4,2,2,1945,Suburban,Good,No,500953,81
521,1750,4,3,2,1985,Urban,Fair,Yes,227561,41
522,4012,2,1,3,1986,Downtown,Poor,Yes,964394,40
523,1756,1,2,1,1929,Suburban,Fair,Yes,907735,97
524,3876,5,3,2,1968,Urban,Poor,Yes,340534,58
525,3986,1,1,3,1908,Suburban,Fair,No,584535,118
526,4084,5,4,2,1984,Downtown,Excellent,Yes,250123,42
527,1896,1,2,1,1910,Urban,Good,No,765079,116
528,4137,4,1,2,1968,Urban,Poor,No,477894,58
529,3830,3,2,3,1998,Downtown,Excellent,No,531018,28
530,3203,3,2,1,1990,Urban,Good,Yes,257358,36
531,970,2,2,3,2012,Downtown,Good,No,866015,14
532,1853,5,1,1,1965,Urban,Good,Yes,566456,61
533,3283,5,3,1,1987,Urban,Fair,No,189148,39
534,3331,5,1,1,1930,Downtown,Excellent,Yes,985510,96
535,857,4,2,2,1932,Downtown,Excellent,Yes,196123,94
536,3519,5,1,3,1938,Urban,Good,Yes,447530,88
537,1167,3,4,3,1993,Urban,Poor,Yes,602958,33
538,4968,4,3,3,1945,Downtown,Excellent,No,543973,81
539,1645,1,1,1,1936,Rural,Fair,No,961352,90
540,4685,5,4,2,2014,Downtown,Poor,Yes,60236,12
541,4219,5,3,1,1991,Urban,Poor,No,85568,35
542,3245,1,4,3,1959,Urban,Poor,Yes,681615,67
543,1039,5,3,2,1930,Urban,Poor,Yes,305745,96
544,3279,1,1,2,1910,Downtown,Excellent,No,422332,116
545,4636,4,4,2,1986,Urban,Good,Yes,535119,40
546,4275,3,2,3,2020,Rural,Poor,Yes,328496,6
547,3008,1,4,2,1901,Suburban,Fair,Yes,700009,125
548,3279,2,3,2,2003,Rural,Fair,Yes,309291,23
549,1424,1,1,1,2004,Downtown,Good,Yes,488866,22
550,3456,5,3,1,1926,Urban,Excellent,No,453562,100
551,2081,4,4,2,1998,Downtown,Good,No,730516,28
552,3824,4,4,2,1901,Suburban,Poor,No,105904,125
553,4985,1,2,1,2002,Downtown,Excellent,Yes,981539,24
554,755,3,1,1,2000,Urban,Excellent,Yes,958573,26
555,2338,2,1,1,1920,Suburban,Poor,Yes,328252,106
556,2444,4,4,3,1957,Suburban,Fair,Yes,572247,69
557,509,5,1,3,1904,Urban,Poor,Yes,839285,122
558,3371,5,2,1,1951,Urban,Good,Yes,396300,75
559,1297,3,3,2,1944,Urban,Poor,No,316320,82
560,1515,4,1,1,1984,Downtown,Fair,Yes,674747,42
561,2324,1,4,3,1992,Rural,Poor,No,469136,34
562,4969,5,3,2,1919,Downtown,Good,Yes,235922,107
563,3636,3,3,3,1960,Downtown,Good,No,187901,66
564,2693,4,2,2,1937,Rural,Fair,Yes,173225,89
565,723,4,4,3,1919,Urban,Good,No,543406,107
566,4658,4,1,2,2013,Urban,Good,No,810135,13
567,4425,4,4,2,1924,Rural,Poor,Yes,271738,102
568,4500,4,3,2,1901,Rural,Excellent,Yes,954890,125
569,2133,5,4,2,2020,Downtown,Good,No,685181,6
570,2652,3,1,3,1931,Suburban,Good,Yes,910359,95
571,1010,4,1,3,1925,Rural,Fair,Yes,528076,101
572,884,2,2,2,1969,Downtown,Fair,Yes,954610,57
573,904,2,1,2,1940,Suburban,Poor,No,292726,86
574,2500,3,1,3,2020,Urban,Poor,Yes,352811,6
575,3256,1,4,2,1966,Urban,Good,No,771202,60
576,2168,1,4,2,1996,Downtown,Excellent,No,479059,30
577,1960,1,3,2,1900,Downtown,Excellent,Yes,756168,126
578,4136,2,2,1,1950,Rural,Poor,No,473759,76
579,3224,1,4,2,1904,Urban,Fair,Yes,515996,122
580,4678,5,1,1,1912,Downtown,Good,Yes,56611,114
581,2548,4,3,2,1918,Urban,Good,No,400386,108
582,4646,2,4,3,1911,Urban,Excellent,No,921044,115
583,1216,3,2,1,1947,Rural,Poor,No,883334,79
584,2323,3,2,1,1924,Suburban,Excellent,No,821812,102
585,2581,4,3,2,1956,Rural,Excellent,No,345187,70
586,3919,2,3,2,2014,Downtown,Poor,Yes,186343,12
587,2074,1,3,1,1934,Rural,Fair,No,909299,92
588,749,1,3,3,1975,Rural,Good,Yes,389233,51
589,1173,5,3,3,1993,Urban,Fair,Yes,895177,33
590,2665,5,1,2,1904,Rural,Poor,No,540092,122
591,1270,1,1,3,1997,Downtown,Poor,No,240191,29
592,4462,3,4,3,1921,Suburban,Good,No,716933,105
593,4863,3,2,2,2002,Rural,Fair,No,726769,24
594,2484,5,1,3,1976,Rural,Good,No,922402,50
595,1577,4,1,2,1956,Suburban,Excellent,Yes,336608,70
596,735,1,1,1,1946,Downtown,Excellent,Yes,299220,80
597,888,5,4,2,1953,Downtown,Excellent,Yes,486056,73
598,3537,5,3,1,1902,Rural,Fair,No,692811,124
599,2348,1,4,1,2023,Urban,Excellent,No,594950,3
600,3314,1,2,3,1952,Rural,Good,Yes,854660,74
601,3874,3,2,3,1983,Suburban,Fair,No,635009,43
602,3778,4,2,3,1930,Suburban,Good,No,712746,96
603,1752,4,2,2,1968,Suburban,Poor,No,843294,58
604,4481,1,1,3,1987,Rural,Fair,Yes,614396,39
605,2622,2,1,1,2003,Rural,Good,No,141788,23
606,2650,5,4,3,2017,Downtown,Good,Yes,518239,9
607,1829,5,3,3,1932,Urban,Fair,No,294437,94
608,1858,1,2,2,1971,Rural,Poor,No,811299,55
609,2982,2,4,2,1987,Downtown,Fair,Yes,916572,39
610,2517,3,1,1,1949,Rural,Excellent,No,732561,77
611,1831,1,1,2,1983,Downtown,Excellent,No,905010,43
612,4844,1,3,3,2023,Downtown,Poor,No,99966,3
613,4761,5,3,2,1915,Urban,Good,Yes,235846,111
614,1858,1,3,1,2013,Rural,Good,No,322530,13
615,3677,1,4,3,2015,Downtown,Good,No,651516,11
616,2628,1,1,1,1975,Suburban,Fair,No,196297,51
617,2680,5,1,2,1976,Suburban,Fair,No,459909,50
618,637,3,3,2,2008,Suburban,Poor,No,384341,18
619,3972,3,2,1,2005,Urban,Excellent,Yes,93021,21
620,3332,1,3,3,1938,Downtown,Good,Yes,431059,88
621,4079,5,4,2,1988,Urban,Excellent,No,199333,38
622,3531,3,3,2,1945,Rural,Fair,No,470594,81
623,4664,3,3,3,1995,Rural,Fair,Yes,953606,31
624,3093,3,4,2,1987,Downtown,Fair,No,826934,39
625,4800,5,3,1,2011,Suburban,Excellent,No,136755,15
626,4318,5,1,2,1946,Downtown,Poor,No,979441,80
627,4638,1,2,2,1943,Downtown,Poor,No,116330,83
628,4323,4,3,3,1908,Downtown,Fair,No,752726,118
629,4542,3,4,1,2003,Urban,Good,No,908754,23
630,2406,4,2,3,2013,Rural,Excellent,No,938750,13
631,1260,5,4,2,1986,Downtown,Fair,No,619601,40
632,3945,5,2,2,1949,Downtown,Excellent,Yes,284729,77
633,1399,5,2,3,1976,Downtown,Excellent,Yes,807071,50
634,4955,4,3,3,1959,Urban,Poor,No,339176,67
635,3447,5,1,3,2022,Urban,Fair,No,535179,4
636,2219,1,3,1,1995,Urban,Poor,No,198430,31
637,780,5,4,2,2013,Downtown,Fair,No,898142,13
638,3766,2,4,3,1914,Suburban,Excellent,Yes,407470,112
639,2387,4,2,2,1935,Suburban,Poor,Yes,398301,91
640,3766,2,2,1,2012,Suburban,Excellent,Yes,492037,14
641,1166,5,1,1,1962,Rural,Fair,Yes,78365,64
642,4688,1,3,1,1968,Downtown,Good,No,325333,58
643,1171,3,4,1,1985,Suburban,Poor,No,519965,41
644,2469,5,2,2,1979,Suburban,Poor,No,581536,47
645,4656,1,1,1,1940,Suburban,Excellent,Yes,54369,86
646,3622,4,4,1,1973,Downtown,Excellent,No,506979,53
647,4400,2,2,3,1923,Suburban,Good,No,975554,103
648,1023,2,4,1,1981,Suburban,Poor,Yes,865037,45
649,2893,2,1,3,1948,Downtown,Fair,Yes,886048,78
650,3617,4,1,1,1917,Rural,Fair,Yes,497695,109
651,3093,1,4,1,1906,Urban,Poor,Yes,415863,120
652,2468,4,3,3,1903,Suburban,Poor,Yes,221955,123
653,2253,2,4,1,1989,Urban,Poor,No,607343,37
654,2796,5,2,2,1968,Rural,Good,No,774091,58
655,2761,3,3,2,1959,Rural,Fair,Yes,428824,67
656,2786,4,2,1,1954,Suburban,Fair,No,319594,72
657,4702,4,4,2,1915,Downtown,Excellent,No,183997,111
658,3378,1,3,3,1998,Rural,Excellent,No,523267,28
659,4643,1,2,1,1989,Urban,Poor,No,100272,37
660,4144,4,4,1,1981,Urban,Excellent,Yes,55310,45
661,4932,2,4,3,1928,Urban,Good,No,81817,98
662,2555,3,3,3,1922,Urban,Fair,No,558350,104
663,1776,1,4,3,2016,Rural,Fair,No,536160,10
664,3266,2,1,1,1913,Suburban,Excellent,Yes,487744,113
665,802,5,2,3,1978,Suburban,Poor,No,790176,48
666,1138,1,2,3,1948,Urban,Excellent,Yes,132641,78
667,555,2,4,2,1932,Suburban,Poor,Yes,789443,94
668,1025,2,4,2,1924,Urban,Good,Yes,781670,102
669,4623,3,1,1,1920,Urban,Fair,Yes,589745,106
670,2625,3,3,2,1916,Downtown,Good,No,92311,110
671,3787,5,4,2,1922,Rural,Fair,Yes,971484,104
672,864,2,4,3,1956,Rural,Good,Yes,201958,70
673,2146,2,4,3,2006,Urban,Excellent,Yes,520328,20
674,1418,3,4,2,1980,Rural,Good,Yes,494093,46
675,3297,1,2,2,1957,Suburban,Good,Yes,697861,69
676,2031,1,4,2,1913,Urban,Excellent,No,409571,113
677,3845,4,2,1,1992,Downtown,Fair,Yes,872613,34
678,2406,3,4,1,1919,Suburban,Fair,No,214334,107
679,3586,4,3,1,1929,Downtown,Excellent,No,968451,97
680,2575,3,1,2,1918,Downtown,Good,Yes,443238,108
681,1213,5,3,2,1952,Rural,Good,No,837560,74
682,1562,2,4,1,2002,Rural,Good,No,653810,24
683,2476,5,4,1,1955,Urban,Poor,No,213394,71
684,1796,3,4,2,1976,Rural,Fair,Yes,98929,50
685,625,2,3,3,1981,Downtown,Good,Yes,655984,45
686,4096,1,4,1,1922,Downtown,Fair,Yes,427389,104
687,3783,1,3,2,1961,Suburban,Good,Yes,846240,65
688,2103,4,2,2,2009,Downtown,Excellent,Yes,669436,17
689,566,3,1,3,1932,Urban,Excellent,Yes,496098,94
690,732,3,1,2,2002,Urban,Fair,Yes,858157,24
691,2656,1,3,2,2003,Rural,Fair,No,384678,23
692,1669,5,2,1,1917,Rural,Excellent,No,352094,109
693,2658,2,3,1,1972,Rural,Poor,Yes,794314,54
694,4706,5,2,3,1932,Urban,Excellent,No,133576,94
695,1993,5,4,3,1931,Downtown,Good,Yes,70557,95
696,4507,1,2,2,1960,Rural,Poor,Yes,596113,66
697,2972,1,2,1,1953,Suburban,Excellent,Yes,321142,73
698,3160,1,2,3,1916,Rural,Poor,No,86080,110
699,3239,4,1,3,1918,Urban,Poor,Yes,833103,108
700,2261,5,2,3,1990,Rural,Poor,Yes,238869,36
701,4014,3,4,2,1969,Downtown,Fair,Yes,721162,57
702,2475,2,4,1,1998,Rural,Excellent,Yes,978671,28
703,2862,4,4,3,2019,Urban,Fair,No,543844,7
704,1376,3,2,1,2000,Urban,Fair,Yes,616695,26
705,4312,5,3,3,1933,Suburban,Good,No,170283,93
706,3948,1,3,3,1983,Urban,Good,No,63338,43
707,1812,5,4,1,1924,Suburban,Poor,Yes,650577,102
708,1960,2,1,1,1967,Downtown,Poor,Yes,514736,59
709,3209,4,3,1,1973,Urban,Good,No,724255,53
710,2824,4,2,2,1973,Rural,Good,No,228982,53
711,2233,2,3,3,1987,Downtown,Excellent,No,967461,39
712,2105,3,4,2,1984,Rural,Poor,No,159367,42
713,3063,3,1,1,1910,Rural,Poor,Yes,378042,116
714,3921,4,3,3,1990,Rural,Good,No,970958,36
715,4017,4,3,2,1915,Downtown,Excellent,No,691774,111
716,2897,1,4,3,1989,Downtown,Good,No,398684,37
717,4235,3,1,2,1960,Urban,Good,No,544775,66
718,3370,2,1,1,1993,Rural,Fair,Yes,788497,33
719,1660,3,4,2,2012,Suburban,Poor,Yes,493853,14
720,742,1,2,3,1979,Urban,Excellent,Yes,830343,47
721,3090,4,3,3,1906,Downtown,Fair,No,710709,120
722,1563,4,2,3,1915,Suburban,Poor,No,961848,111
723,4824,1,3,3,1998,Downtown,Good,Yes,876395,28
724,3095,2,3,1,2021,Suburban,Excellent,Yes,450966,5
725,1419,4,2,2,1915,Urban,Poor,No,407073,111
726,505,5,4,1,1939,Suburban,Good,Yes,727823,87
727,967,4,4,1,1911,Urban,Fair,No,649223,115
728,4670,5,3,1,1934,Downtown,Excellent,No,764152,92
729,503,1,4,3,2012,Suburban,Poor,No,850118,14
730,1145,1,3,3,1920,Rural,Fair,No,549555,106
731,617,4,4,3,1949,Rural,Good,No,113528,77
732,3428,3,3,2,1942,Downtown,Good,No,674099,84
733,3051,5,4,3,1999,Suburban,Poor,Yes,558907,27
734,4789,2,1,2,2011,Rural,Good,Yes,334931,15
735,1346,4,2,3,1916,Urban,Excellent,Yes,982280,110
736,3262,2,1,3,1931,Suburban,Poor,No,427757,95
737,1641,4,2,1,1940,Suburban,Fair,Yes,762787,86
738,2310,3,2,1,1905,Rural,Poor,No,834429,121
739,1223,3,3,1,1987,Urban,Poor,No,154887,39
740,724,3,2,2,1926,Urban,Fair,No,111086,100
741,4708,3,1,2,1919,Urban,Good,No,938663,107
742,2548,1,1,3,1924,Suburban,Fair,Yes,305494,102
743,4915,1,4,2,1965,Downtown,Excellent,Yes,558889,61
744,2073,5,1,3,1908,Suburban,Good,Yes,637596,118
745,2328,2,4,2,1991,Suburban,Poor,No,327941,35
746,2417,4,2,2,1952,Rural,Good,Yes,317446,74
747,4734,4,1,2,1960,Downtown,Good,Yes,506388,66
748,2526,1,2,1,1937,Urban,Excellent,Yes,612347,89
749,4244,4,1,2,1902,Rural,Good,No,181980,124
750,1401,1,1,1,1983,Suburban,Good,Yes,765612,43
751,2539,5,4,1,1969,Downtown,Good,No,523875,57
752,509,2,2,2,2002,Urban,Poor,Yes,193949,24
753,760,5,1,3,1996,Urban,Good,No,326383,30
754,2173,3,3,3,1954,Suburban,Fair,Yes,77313,72
755,2719,3,2,3,1900,Urban,Good,Yes,92103,126
756,2560,3,2,2,2000,Urban,Excellent,Yes,229480,26
757,4213,5,2,3,1969,Downtown,Good,No,526467,57
758,2119,4,4,1,1944,Rural,Good,Yes,138771,82
759,820,2,3,3,1997,Downtown,Poor,Yes,176228,29
760,1842,3,2,2,1946,Rural,Fair,No,141665,80
761,2876,3,1,3,1978,Rural,Good,No,846966,48
762,3332,3,1,1,2008,Rural,Fair,No,879492,18
763,3324,2,4,2,1925,Urban,Excellent,No,853621,101
764,2494,3,1,3,2020,Downtown,Poor,Yes,964863,6
765,3458,2,2,2,1913,Urban,Fair,Yes,660355,113
766,2538,3,1,2,2021,Suburban,Poor,No,847399,5
767,3990,5,2,2,1953,Downtown,Good,Yes,787351,73
768,4177,5,1,3,1970,Rural,Excellent,No,901995,56
769,1618,2,3,2,1945,Urban,Poor,Yes,320804,81
770,2104,5,4,3,2021,Urban,Good,No,430815,5
771,4527,2,4,1,1930,Downtown,Fair,Yes,534091,96
772,735,5,3,3,1987,Downtown,Excellent,No,179909,39
773,2469,5,3,1,1958,Rural,Excellent,No,483039,68
774,4929,2,4,3,1994,Rural,Fair,Yes,499058,32
775,2408,4,3,2,1928,Suburban,Fair,Yes,190688,98
776,875,5,2,3,2005,Rural,Excellent,Yes,125976,21
777,4030,3,1,2,1995,Urban,Poor,No,807496,31
778,3135,4,4,1,1916,Suburban,Excellent,Yes,229810,110
779,2070,2,3,3,1913,Suburban,Fair,No,325251,113
780,3060,4,2,2,2003,Suburban,Poor,Yes,766764,23
781,3891,1,4,1,1935,Downtown,Good,Yes,668470,91
782,3465,1,3,1,1957,Rural,Excellent,No,817441,69
783,4143,5,4,3,2011,Suburban,Fair,No,928219,15
784,4350,5,3,1,1923,Downtown,Good,Yes,852386,103
785,1372,3,4,2,2008,Downtown,Excellent,No,329087,18
786,1752,4,2,1,1962,Suburban,Excellent,No,90725,64
787,1814,1,2,1,2017,Suburban,Poor,Yes,881866,9
788,3398,5,1,2,1990,Urban,Fair,No,922183,36
789,577,4,4,1,1924,Suburban,Good,Yes,584398,102
790,3121,5,1,1,1958,Urban,Excellent,Yes,548864,68
791,4727,5,4,1,1931,Suburban,Poor,No,328606,95
792,1100,1,3,1,2015,Suburban,Good,Yes,391376,11
793,1565,1,3,2,1981,Rural,Good,No,759441,45
794,2636,5,1,1,2009,Suburban,Excellent,Yes,496015,17
795,2949,2,4,2,1917,Suburban,Good,No,640855,109
796,2843,5,1,1,1936,Urban,Excellent,No,532517,90
797,2363,5,2,1,1925,Urban,Poor,No,756584,101
798,1818,3,1,1,1908,Rural,Poor,No,439569,118
799,4097,3,1,1,2023,Suburban,Good,No,892495,3
800,4262,3,3,2,1998,Suburban,Excellent,Yes,163394,28
801,2690,2,1,2,1963,Urban,Fair,Yes,891672,63
802,1492,2,4,2,1971,Downtown,Poor,No,917784,55
803,3212,5,3,3,1919,Downtown,Excellent,Yes,198940,107
804,2692,3,1,1,1953,Downtown,Excellent,No,393133,73
805,1748,2,2,1,2005,Urban,Excellent,No,72222,21
806,3554,1,1,2,1985,Urban,Good,Yes,129794,41
807,4533,5,1,3,1982,Downtown,Fair,Yes,638212,44
808,2497,4,1,1,1929,Downtown,Good,No,674142,97
809,4187,5,3,2,1952,Suburban,Poor,No,914945,74
810,2651,4,4,1,1991,Urban,Good,No,834326,35
811,4518,3,2,1,1998,Urban,Excellent,No,891081,28
812,3610,4,1,2,2006,Downtown,Good,No,415130,20
813,2470,3,4,2,1962,Downtown,Excellent,No,818103,64
814,697,1,4,1,1910,Rural,Fair,Yes,920181,116
815,3126,4,3,1,1930,Urban,Good,No,283127,96
816,1702,5,2,2,1948,Rural,Good,No,554434,78
817,2535,3,3,1,2011,Suburban,Good,Yes,191295,15
818,977,5,4,1,2002,Rural,Excellent,No,229238,24
819,1754,2,4,2,1999,Downtown,Excellent,No,89369,27
820,1422,3,4,1,1993,Urban,Good,Yes,922811,33
821,919,4,3,1,1986,Urban,Good,No,905824,40
822,2704,3,2,3,1918,Rural,Fair,Yes,849093,108
823,3097,5,1,2,1911,Rural,Fair,No,720951,115
824,1620,1,3,3,1914,Suburban,Poor,Yes,383862,112
825,3568,3,4,3,1930,Suburban,Fair,Yes,760595,96
826,1450,4,3,3,1942,Downtown,Fair,Yes,320114,84
827,2836,2,4,1,2000,Downtown,Fair,No,97922,26
828,2743,1,1,1,1936,Downtown,Excellent,No,543614,90
829,3145,2,1,3,1978,Rural,Fair,Yes,867187,48
830,2357,3,2,3,1928,Rural,Fair,Yes,695214,98
831,2365,5,4,3,2013,Urban,Good,No,69416,13
832,3412,5,2,1,2006,Downtown,Excellent,No,63672,20
833,3353,4,2,3,1925,Rural,Poor,No,526684,101
834,3728,5,1,3,2007,Urban,Poor,No,178145,19
835,4219,1,3,2,1901,Downtown,Fair,No,752356,125
836,3728,5,3,2,1983,Suburban,Poor,Yes,910527,43
837,2871,4,2,1,1914,Suburban,Poor,No,50064,112
838,3391,3,1,2,2015,Rural,Poor,Yes,118835,11
839,4256,3,4,2,1903,Urban,Fair,No,251457,123
840,4725,5,3,2,1985,Suburban,Poor,Yes,973143,41
841,594,2,2,1,1949,Urban,Fair,Yes,297795,77
842,3174,3,3,2,1937,Urban,Good,No,454271,89
843,2455,5,3,1,1922,Suburban,Good,Yes,399738,104
844,1293,4,4,3,1958,Urban,Poor,Yes,996931,68
845,2334,5,1,2,1989,Suburban,Good,Yes,691204,37
846,2616,3,4,1,2014,Rural,Fair,Yes,956740,12
847,4606,4,1,2,1974,Downtown,Good,No,918948,52
848,3825,5,3,3,1927,Downtown,Poor,Yes,901098,99
849,3419,1,2,1,2019,Rural,Fair,No,245346,7
850,3097,4,4,1,1965,Suburban,Excellent,Yes,954726,61
851,3705,1,1,1,2022,Suburban,Fair,No,323010,4
852,1314,2,3,3,1907,Suburban,Good,No,53889,119
853,845,4,1,3,1928,Suburban,Excellent,No,168194,98
854,2849,1,1,3,1910,Rural,Fair,Yes,174714,116
855,862,3,1,1,2000,Downtown,Excellent,No,605623,26
856,2943,3,3,3,1917,Urban,Excellent,No,100547,109
857,2765,2,2,2,1954,Urban,Excellent,Yes,207234,72
858,2688,4,2,3,1949,Downtown,Fair,No,794809,77
859,3505,4,2,1,1913,Rural,Good,Yes,730047,113
860,3781,4,1,2,2017,Urban,Fair,Yes,935188,9
861,1484,2,3,3,1973,Downtown,Good,No,323139,53
862,2139,4,1,2,1998,Rural,Fair,Yes,499704,28
863,1327,3,2,2,1908,Urban,Fair,Yes,52631,118
864,3230,1,2,1,1998,Suburban,Fair,Yes,187039,28
865,4031,3,3,2,1910,Suburban,Good,No,924726,116
866,4951,3,1,2,1962,Rural,Fair,Yes,399422,64
867,3435,1,4,1,2007,Suburban,Excellent,Yes,638759,19
868,4376,3,4,1,1975,Rural,Fair,Yes,349260,51
869,626,2,2,1,1966,Downtown,Excellent,No,928548,60
870,3677,1,3,2,1952,Downtown,Poor,Yes,477443,74
871,3556,3,1,2,1938,Urban,Poor,No,707302,88
872,1103,5,1,2,1977,Rural,Good,Yes,621952,49
873,3949,3,2,1,1955,Urban,Good,No,733429,71
874,4646,2,2,3,1927,Urban,Poor,No,137342,99
875,4033,4,1,2,1974,Downtown,Fair,No,64407,52
876,3867,3,1,3,1938,Urban,Fair,Yes,163926,88
877,3868,4,2,1,1924,Suburban,Fair,Yes,371345,102
878,4297,5,1,2,1920,Urban,Poor,Yes,916525,106
879,2292,3,4,3,1909,Rural,Excellent,No,497564,117
880,3361,1,2,2,1942,Suburban,Good,Yes,787341,84
881,3976,4,1,2,1914,Downtown,Excellent,Yes,592166,112
882,3917,5,2,2,1982,Rural,Poor,No,133100,44
883,2145,1,3,3,1947,Suburban,Excellent,Yes,915061,79
884,1705,1,2,1,1985,Rural,Fair,Yes,498636,41
885,3530,1,2,2,1920,Suburban,Fair,No,544308,106
886,3372,1,3,1,1959,Rural,Excellent,No,273059,67
887,3572,3,4,1,2015,Rural,Poor,Yes,617456,11
888,2354,3,1,3,2007,Suburban,Excellent,No,300396,19
889,4521,3,3,3,1995,Downtown,Fair,Yes,824769,31
890,3208,5,2,1,1949,Downtown,Fair,Yes,367006,77
891,4002,5,1,2,1922,Rural,Poor,Yes,78004,104
892,1832,5,3,3,1912,Rural,Excellent,Yes,856903,114
893,701,2,1,2,1968,Downtown,Fair,Yes,574252,58
894,4007,5,1,2,1903,Downtown,Fair,No,666108,123
895,4712,3,3,2,1991,Urban,Excellent,No,241239,35
896,1074,3,1,1,1977,Downtown,Excellent,Yes,676517,49
897,1036,2,4,2,1971,Rural,Good,No,527044,55
898,2125,2,3,1,1908,Suburban,Poor,No,901740,118
899,2622,5,4,1,2020,Downtown,Poor,Yes,396113,6
900,885,4,2,2,2014,Urban,Excellent,No,64568,12
901,3781,2,1,2,1934,Urban,Poor,No,583754,92
902,974,1,2,2,2000,Urban,Fair,Yes,272129,26
903,917,3,2,2,1920,Suburban,Excellent,Yes,631612,106
904,4100,1,1,1,1957,Downtown,Excellent,Yes,938640,69
905,1454,3,3,2,1917,Downtown,Excellent,Yes,196539,109
906,1705,3,1,2,1996,Downtown,Good,Yes,650243,30
907,4620,2,2,1,1971,Suburban,Poor,Yes,197748,55
908,2490,2,2,3,2014,Suburban,Good,Yes,144791,12
909,4072,1,3,3,2012,Rural,Fair,No,736874,14
910,4880,3,1,1,1980,Urban,Poor,Yes,945150,46
911,4658,1,2,3,1942,Urban,Good,No,596938,84
912,3213,4,4,1,1994,Downtown,Excellent,No,400434,32
913,2703,1,2,2,1997,Suburban,Good,Yes,127701,29
914,3620,5,2,2,1905,Suburban,Excellent,No,847115,121
